Global:

1:	Player
2:	StageSetup
3:	HUD
4:      Act Finish
5:      Death Event
6:      Tails Object (Tails' Tail)
7:      Pause Menu
8: 	Ring
9:      Lose Ring
10:     Ring Sparkle
11:	Monitor
12:	Monitor, Broken
13:	Spring, Red
14:	Spring, Yellow
15:	StarPost
16:	FuturePost
17:	PastPost
18:	SignPost
19:	GoalPost
20:	Special Ring
21:	Spikes
22:     Smoke Puff
23:     Explosion
24:     Dust Puff
25:     Blue Shield
26:     Invincibility
27:	Warp Star
28:	Time Warp
29:	Warp Sonic
30:	Transporter
31:	Metal Sonic Projector
32:	Object Score
33:	Debug Mode
34:	Title Card (always 1st Stage-Specific Object)
